concentration_plate_id	concentration_date	concentration_input_ml	concentration_output_ml	concentration_method	concentration_method_lot_id	concentration_machine	concentration_run_by	concentration_plate_comments
PE77	2/22/21	100	4	PEG Precipitation		Sorvall	AT	
PE78	2/22/21	100	4	PEG Precipitation		Sorvall	AT	
PE79	3/12/21	100	5	PEG Precipitation		Sorvall	AHT	
PE8	11/13/20	100	3.4	PEG Precipitation		Sorvall	MS	
PE80	3/12/21	100	5	PEG Precipitation		Sorvall	AHT	
PE81	3/12/21	100	5	PEG Precipitation		Sorvall	AHT	
PE82	3/12/21	100	5	PEG Precipitation		Sorvall	AHT	
PE83	3/12/21	100	5	PEG Precipitation		Sorvall	AHT	
PE84	3/19/21	100	4.2	PEG Precipitation		Sorvall	TD	
PE85	3/19/21	100	3.4	PEG Precipitation		Sorvall	TD	
PE86	3/19/21	100	3.6	PEG Precipitation		Sorvall	TD	
PE87	3/19/21	100	3.6	PEG Precipitation		Sorvall	TD	
PE88	3/19/21	100	3.5	PEG Precipitation		Sorvall	TD	
PE89	3/26/21	100	4	PEG Precipitation		Sorvall	MVS	
PE9	11/13/20	100	4	PEG Precipitation		Sorvall	MS	
PE90	3/26/21	100	9	PEG Precipitation		Sorvall	MVS	
PE91	3/26/21	100	8	PEG Precipitation		Sorvall	MVS	
PE92	3/26/21	100	4	PEG Precipitation		Sorvall	MVS	
PE93	3/26/21	100	7	PEG Precipitation		Sorvall	MVS	
PE94	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE95	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE96	4/9/21	100	6	PEG Precipitation		Sorvall	MVS	
PE97	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE98	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
PE99	4/9/21	100	5	PEG Precipitation		Sorvall	MVS	
