sample_id	location_id	sample_collection_by	sample_collection_end_datetime	sample_collection_start_datetime	sample_comment	sample_event	sample_flow	sample_ph_lab	sample_qc	sample_received_by	sample_received_date	sample_recovered_datetime	sample_status
H01-0472.153	MoundsvilleWWTP-01		1/22/23 8:00	1/21/23 8:00		Routine Surveillance	2		Pass	AJ	1/30/23	1/22/23 8:00	Complete
J01-0050.6363	AlpineLakeWWTP-01		5/17/22 7:30	5/16/22 7:30		Routine Surveillance	0.147	7.2	Pass	AJ	5/18/22	5/17/22 7:30	Complete
C01-0145.7388	WheelingWWTP-01		4/11/22 7:00	4/10/22 7:00		Routine Surveillance	11.929	6.81	Pass	JL	4/12/22	4/11/22 7:00	Complete
C01-0166.5495	WheelingWWTP-01	GZ	5/3/22 7:00	5/2/22 7:00		Routine Surveillance	6.868	6.38	Pass	AJ	5/11/22	5/3/22 7:00	Complete
C01-0108.2077	WheelingWWTP-01	GZ	1/18/22 7:00	1/17/22 7:00		Routine Surveillance	7.285	6.06	Pass	AJ	1/25/22	1/18/22 7:00	Complete
B01-0345.3052	CharlestonWWTP-01		12/16/22 7:00	12/15/22 7:00		Routine Surveillance	8.9		Pass	AJ	12/21/22	12/16/22 7:00	Complete
A03-0032.1710	BrookhavenES-01	BL	9/30/21 10:50	9/30/21 10:50		Routine Surveillance		8.45	Pass	JL	10/6/21	9/30/21 10:50	Complete
E01-0208.451	PrincetonWWTP-01		11/16/22 9:00	11/15/22 9:00		Routine Surveillance	6.191		Pass	AJ	11/17/22	11/16/22 9:00	Complete
B01-0212.6987	CharlestonWWTP-01		8/31/22 7:00	8/30/22 7:00		Routine Surveillance	14.3		Pass	AJ	9/6/22	8/31/22 7:30	Complete
L01-0259.7212	WestUnionWWTP-01		10/25/22 9:00	10/24/22 9:00		Routine Surveillance	0.189		Pass	LW	11/2/22	10/25/22 9:00	Complete
