Sample ID	Assay Target 1 Result (CN/L)	Assay Target 2 Result (CN/L)	Collection Method	Department	Location	Sample Composite Start	Sample Flow (MGD)	collection_scheme	location_common_name	location_zipcode	population_served
A02-0284	26046.30891	42333.47252		WVU Morgantown	CollegePark-02	1/10/22 9:00					
A01-0069				WWTP	StarCityWWTP-01	10/21/21 0:00	7.344				
A02-0068	0	1277.302331		WVU Morgantown	NorthHighSt-02 (MUB)	8/30/21 10:00					
A02-0142	17028.40373	5107.520949		WVU Morgantown	CollegePark-02	10/2/21 10:00					
A02-0129	14949.91906	3736.641593		WVU Morgantown	NorthHighSt-02 (MUB)	9/25/21 10:06					
A02-0114	150563.668	137516.1409		WVU Morgantown	CollegePark-02	9/15/21 10:57					
A02-0301	3014956.155	3153337.34		WVU Morgantown	OaklandE-02	1/19/22 9:00					
G02-0012	4300.335329	7167.636454		WVU Keyser	PotomacState-01	10/26/21 10:30					
A02-0145				WVU Morgantown							
K01-0001	68292.4135	7183.437031		WWTP	ParkersburgWWTP-01	12/14/21 6:20	4.913				
A01-0145	70239.27547	87817.49904		WWTP	StarCityWWTP-01	1/5/22 0:00	9.5				
H01-0015	0	0		WWTP	MoundsvilleWWTP-01	10/12/21 8:00					
A03-0176	85050.72266	128858.3806		K-12	MorgantownHS-01	1/14/22 6:00					
A1014	0	19530		WWTP	StarCityWWTP-01	3/24/21 12:00	8.188				
A02-0230	0	17606.28663		WVU Morgantown	OaklandE-02	11/20/21 9:57					
A02-0154	0	1427.22571		WVU Morgantown	NorthHighSt-02 (MUB)	8/10/21 9:00					
A02-0053	152730.5853	128904.3945		WVU Morgantown	OaklandE-02	8/27/21 9:57					
A03-0012											
H01-0041	43764.46769	51062.9864		WWTP	MoundsvilleWWTP-01	11/16/21 8:00					
B01-0013	47147.08477	16250.13962		WWTP	CharlestonWWTP-01	10/6/21 7:00					
A02-0126	54050.04263	67114.13175		WVU Morgantown	NorthHighSt-02 (MUB)	9/22/21 10:21					
